,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
14549,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC302,1.5,B
14550,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC402,1.5,B-
14551,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MAT104,4.0,C
14552,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14553,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14554,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC302,1.5,B
14555,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14556,School of Natural Sciences,PHY,Monsoon 2017,Monsoon,2017,2017,CCC101,1.5,C-
14557,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2017,MAT184,4.0,B-
14558,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14559,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2017,MAT110,4.0,C
14560,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2017,CCC626,1.5,B-
14561,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2017,CCC801,1.5,B-
14562,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2017,MAT110,4.0,D
14563,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14564,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC101,1.5,B
14565,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC805,1.5,B
14566,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A
14567,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,CCC412,1.5,B
14568,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,STM103,3.0,B-
14569,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,DOM103,3.0,D
14570,School of Mgnt & Entrepre,BMS,Monsoon 2017,Monsoon,2017,2017,OHM103,3.0,B-
14571,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MEC102,3.0,C-
14572,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MGT102,3.0,B-
14573,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14574,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,MKT201,3.0,C-
14575,School of Mgnt & Entrepre,BMS,Spring 2018,Spring,2018,2017,ISM101,3.0,B-
14576,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,A
14577,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,A-
14578,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14579,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC805,1.5,A
14580,School of Engineering,CSD,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14581,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC510,3.0,A-
14582,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC407,1.5,B
14583,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14584,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,C
14585,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,C-
14586,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CHY111,5.0,B-
14587,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC627,1.5,B
14588,School of Engineering,CHD,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14589,School of Engineering,CHD,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14590,School of Natural Sciences,BIO,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14591,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CCC414,1.5,B
14592,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14593,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2017,CHY122,4.0,B
14594,School of Humanities & Soc Sci,HIS,Monsoon 2017,Monsoon,2017,2017,CCC822,1.5,C
14595,School of Humanities & Soc Sci,HIS,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14596,School of Humanities & Soc Sci,HIS,Spring 2018,Spring,2018,2017,CCC704,4.0,A
14597,School of Humanities & Soc Sci,HIS,Spring 2018,Spring,2018,2017,IRG202,3.0,A-
14598,School of Humanities & Soc Sci,SOC,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,B-
14599,School of Humanities & Soc Sci,SOC,Monsoon 2017,Monsoon,2017,2017,CCC822,1.5,B-
14600,School of Humanities & Soc Sci,SOC,Spring 2018,Spring,2018,2017,HIS103,3.0,B-
14601,School of Humanities & Soc Sci,SOC,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14602,School of Humanities & Soc Sci,SOC,Spring 2018,Spring,2018,2017,CCC312,1.5,B
14603,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,C
14604,School of Natural Sciences,CHY,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14605,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,PHY104,5.0,B-
14606,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,MAT104,4.0,B-
14607,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,CCC402,1.5,A-
14608,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,CCC115,1.5,B-
14609,School of Natural Sciences,CHY,Spring 2018,Spring,2018,2017,BIO113,3.0,B-
14610,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14611,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14612,School of Engineering,EED,Spring 2018,Spring,2018,2017,CCC319,1.5,A
