,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
3462,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B-
3463,School of Engineering,EED,Spring 2018,Spring,2018,2016,ECO102,4.0,B
3464,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B
3465,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B-
3466,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,DES101,4.0,B
3467,School of Engineering,MED,Spring 2018,Spring,2018,2016,DES111,4.0,B
3468,School of Engineering,MED,Spring 2018,Spring,2018,2016,EED102,3.0,B
3469,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A-
3470,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B
3471,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,BIO301,3.0,B-
3472,School of Engineering,MED,Spring 2018,Spring,2018,2016,ECO101,4.0,B
3473,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B
3474,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,A-
3475,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,MAT284,4.0,B-
3476,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,D
3477,School of Engineering,EED,Spring 2018,Spring,2018,2016,ECO102,4.0,B
3478,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED101,2.0,B
3479,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A
3480,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,A
3481,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,CSD206,4.0,B-
3482,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B-
3483,School of Engineering,EED,Spring 2018,Spring,2018,2016,MEC102,3.0,A-
3484,School of Engineering,EED,Spring 2018,Spring,2018,2016,IRG204,3.0,A
3485,School of Engineering,EED,Spring 2018,Spring,2018,2016,ECO101,4.0,B
3486,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B-
3487,School of Engineering,EED,Spring 2018,Spring,2018,2016,DOM401,3.0,A-
3488,School of Engineering,EED,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3489,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B
3490,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B
3491,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B
3492,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B-
3493,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MAT110,4.0,D
3494,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,IRG106,3.0,A
3495,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,OHM402,3.0,A-
3496,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,MAT283,4.0,B
3497,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B-
3498,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,C
3499,School of Engineering,CED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C
3500,School of Engineering,CED,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3501,School of Engineering,CED,Spring 2018,Spring,2018,2016,MAT104,4.0,A-
3502,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A
3503,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B
3504,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,DES101,4.0,A-
3505,School of Engineering,MED,Spring 2018,Spring,2018,2016,DES111,4.0,A-
3506,School of Engineering,MED,Spring 2018,Spring,2018,2016,MAT160,4.0,B-
3507,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3508,School of Engineering,ECE,Spring 2018,Spring,2018,2016,ECO102,4.0,A
3509,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B-
3510,School of Natural Sciences,BIO,Monsoon 2017,Monsoon,2017,2016,DES101,4.0,A-
3511,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2016,DES111,4.0,B
3512,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3513,School of Engineering,CSD,Spring 2018,Spring,2018,2016,DOM401,3.0,B
3514,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,A-
3515,School of Engineering,CSD,Spring 2018,Spring,2018,2016,DOM401,3.0,B-
3516,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B-
3517,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT160,4.0,C
3518,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C-
3519,School of Engineering,ECE,Spring 2018,Spring,2018,2016,MED101,2.0,A
