,School,Major,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades,Batch,Minor
424,School of Humanities & Soc Sci,ECO,"['PHY101', 'CED102', 'EED101', 'MAT201', 'MED102']","['F', 'C-', 'W', 'D', 'W']","['MED101', 'MAT203', 'CSD101', 'PHY102']","['C', 'B', 'B', 'C']","['MED208', 'MED201', 'MED102', 'MAT205', 'MED211', 'MED203']","['W', 'W', 'W', 'C', 'W', 'W']",['COM198'],['C'],[],[],['ENG243'],['B'],[],[],[],[],2015,MED
425,School of Engineering,CED,[],[],[],[],['ENG104'],['A-'],['SOC103'],['B'],"['SOC217', 'SOC204']","['A-', 'B-']",['SOC221'],['A-'],[],[],[],[],2015,SOC
426,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['C'],['CED304'],['C'],['CED315'],['B'],['CED405'],['A-'],"['CED308', 'CED307']","['A', 'A-']",[],[],[],[],2015,CED
427,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['B-'],['DES101'],['A-'],['DES111'],['A-'],['DES131'],['A-'],"['DES121', 'OHM401']","['A-', 'A-']",[],[],[],[],2015,DES
433,School of Natural Sciences,CHY,['MAT201'],['C'],"['BIO113', 'MAT203', 'PHY104']","['B-', 'B-', 'D']","['BIO201', 'BIO202', 'PHY255']","['A-', 'B-', 'B']","['PHY202', 'MAT084']","['D', 'D']",['BIO204'],['A-'],"['BIO205', 'BIO206']","['B', 'B-']",[],[],[],[],2015,BIO
435,School of Natural Sciences,BIO,[],[],['CHY211'],['B'],['CHY213'],['B'],['CHY221'],['B'],"['CHY352', 'PHY202']","['B', 'D']",[],[],[],[],[],[],2015,CHY
437,School of Humanities & Soc Sci,ECO,[],[],['MAT260'],['B'],['MAT390'],['B'],"['MAT388', 'MAT110', 'ENG215']","['A-', 'A-', 'A-']","['MAT280', 'ENG440']","['B-', 'A-']","['IRG204', 'IRG203']","['A', 'B']",[],[],[],[],2015,MAT
442,School of Engineering,ECE,[],[],[],[],['ECO101'],['B'],['ECO102'],['A-'],['ECO203'],['A-'],"['ECO221', 'ECO375']","['B-', 'C']",[],[],[],[],2015,ECO
443,School of Natural Sciences,PHY,[],[],['MAT440'],['B'],"['CHY211', 'MAT260', 'MAT544']","['A-', 'A', 'A-']","['MAT542', 'BDA690']","['A', 'A-']","['CHY311', 'BDA655']","['A-', 'A']",[],[],[],[],[],[],2015,MAT
444,School of Engineering,CSD,[],[],[],[],[],[],['MAT431'],['C'],"['MAT442', 'IRG208']","['C', 'B']","['MAT160', 'MAT434']","['B-', 'A']",[],[],[],[],2015,MAT
445,School of Natural Sciences,PHY,[],[],[],[],"['SOC114', 'CHY211']","['B-', 'B']",['MAT431'],['A'],"['IRG206', 'MAT160']","['A-', 'B']","['MAT434', 'MAT284']","['A', 'B']",[],[],[],[],2015,MAT
453,School of Engineering,MED,['MAT201'],['C-'],['PHY102'],['C'],['ECO101'],['B'],"['OHM203', 'ECO102']","['B', 'A']",['ECO301'],['B'],"['ECO327', 'ECO221']","['A', 'A']",[],[],[],[],2015,ECO
454,School of Engineering,ECE,[],[],[],[],['ENG110'],['B'],"['ENG327', 'ENG326']","['B', 'B']",['ENG443'],['A-'],"['ENG444', 'ADP110', 'ENG245']","['A-', 'A-', 'B']",[],[],[],[],2015,ENG
455,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['B-'],['ECO101'],['C'],['ECO102'],['A-'],['ECO301'],['B'],['ECO221'],['B-'],[],[],[],[],2015,ECO
457,School of Natural Sciences,PHY,[],[],['MAT284'],['A'],"['MAT260', 'MAT240']","['A', 'A-']","['MAT320', 'MAT431']","['B-', 'A']",[],[],['MAT442'],['A-'],[],[],[],[],2015,MAT
