,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
846,School of Engineering,CSD,2016,[],[],[],[],"["" 'HIS203'""]","["" 'D'""]","[""'CED308'""]","[""'A-'""]",,,,,,,,
847,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C-'""]","[""'MKT401'"", "" 'ECO102'""]","[""'A'"", "" 'A-'""]",,,,,,,,
848,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'A'""]","["" 'ECO102'""]","["" 'A-'""]",,,,,,,,
849,School of Engineering,EED,2016,[],[],[],[],"[""'ECO101'""]","[""'C-'""]","["" 'ECO102'""]","["" 'B'""]",,,,,,,,
850,School of Engineering,ECE,2016,[],[],[],[],"["" 'MAT160'""]","["" 'B'""]","["" 'HIS208'""]","["" 'B-'""]",,,,,,,,
851,School of Engineering,MED,2016,"[""'MAT201'""]","[""'B'""]","["" 'PHY102'""]","["" 'B-'""]","[""'ECO101'""]","[""'C-'""]","[""'ECO102'"", "" 'CED307'""]","[""'A-'"", "" 'A-'""]",,,,,,,,
852,School of Humanities & Soc Sci,SOC,2016,"[""'CSD101'"", "" 'PHY101'"", "" 'MAT201'""]","[""'B'"", "" 'W'"", "" 'B-'""]","[""'CSD201'"", "" 'EED101'"", "" 'MAT203'"", "" 'PHY102'""]","[""'B'"", "" 'W'"", "" 'B-'"", "" 'W'""]","[""'CSD205'"", "" 'CSD207'"", "" 'CSD206'""]","[""'B'"", "" 'B-'"", "" 'W'""]",[],[],,,,,,,,
853,School of Engineering,CED,2016,[],[],[],[],[],[],"[""'MED101'"", "" 'CHD262'""]","[""'A-'"", "" 'C'""]",,,,,,,,
854,School of Engineering,ECE,2016,[],[],[],[],[],[],"["" 'MAT160'""]","["" 'B-'""]",,,,,,,,
855,School of Engineering,CSD,2016,[],[],[],[],"["" 'ECO101'""]","["" 'A-'""]","[""'MAT160'""]","[""'A'""]",,,,,,,,
856,School of Engineering,CED,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C'""]","[""'ECO102'""]","[""'A-'""]",,,,,,,,
857,School of Humanities & Soc Sci,ECO,2016,"[""'CHY111'"", "" 'PHY103'"", "" 'PHY105'""]","[""'C-'"", "" 'C'"", "" 'B-'""]","[""'PHY104'"", "" 'MAT102'"", "" 'PHY106'""]","[""'B-'"", "" 'C-'"", "" 'D'""]","[""'PHY203'"", "" 'PHY205'"", "" 'PHY201'""]","[""'C'"", "" 'C'"", "" 'C-'""]","[""'PHY206'"", "" 'MAT102'"", "" 'PHY208'"", "" 'PHY204'"", "" 'PHY202'""]","[""'C-'"", "" 'B-'"", "" 'B'"", "" 'C-'"", "" 'D'""]",,,,,,,,
858,School of Natural Sciences,BIO,2016,[],[],[],[],"["" 'ECO101'""]","["" 'A'""]","["" 'MGT201'"", "" 'ECO102'""]","["" 'A-'"", "" 'A'""]",,,,,,,,
859,School of Engineering,MED,2016,"[""'MAT201'""]","[""'C'""]","["" 'PHY102'""]","["" 'B'""]","["" 'MAT160'""]","["" 'B-'""]",[],[],,,,,,,,
860,School of Engineering,EED,2016,[],[],[],[],"["" 'MAT160'""]","["" 'C'""]","["" 'MED101'""]","["" 'B'""]",,,,,,,,
861,School of Engineering,ECE,2016,[],[],[],[],"["" 'CED202'""]","["" 'B'""]","[""'MED210'"", "" 'MAT160'"", "" 'MED101'""]","[""'C'"", "" 'C'"", "" 'A'""]",,,,,,,,
862,School of Humanities & Soc Sci,ECO,2016,[],[],"["" 'MAT110'""]","["" 'B'""]",,,,,,,,,,,,
863,School of Natural Sciences,BIO,2016,[],[],[],[],"["" 'CHY213'"", "" 'CHY351'""]","["" 'B'"", "" 'B-'""]","["" 'HIS208'""]","["" 'A'""]",,,,,,,,
864,School of Engineering,ECE,2016,[],[],[],[],"["" 'MAT160'""]","["" 'B-'""]","["" 'HIS208'""]","["" 'C'""]",,,,,,,,
865,School of Engineering,MED,2016,"[""'MAT201'""]","[""'B'""]","["" 'PHY102'""]","["" 'C-'""]","["" 'ECO101'""]","["" 'B-'""]","["" 'ECO102'""]","["" 'A-'""]",,,,,,,,
866,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'A'""]","[""'PHY102'""]","[""'A-'""]","["" 'PHY207'""]","["" 'A-'""]","[""'PHY208'""]","[""'A-'""]",,,,,,,,
867,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'A'""]","["" 'PHY102'""]","["" 'B'""]","["" 'MAT160'""]","["" 'B'""]",[],[],,,,,,,,
868,School of Engineering,CED,2016,[],[],[],[],"[""'HIS201'""]","[""'B-'""]","[""'ENG243'""]","[""'A-'""]",,,,,,,,
869,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'B'""]","["" 'PHY102'""]","["" 'C'""]","["" 'ECO101'""]","["" 'D'""]","["" 'ECO102'""]","["" 'B'""]",,,,,,,,
870,School of Natural Sciences,MAT,2016,[],[],"["" 'HIS209'""]","["" 'A-'""]","[""'HIS204'""]","[""'A'""]","[""'SOC203'""]","[""'B'""]",,,,,,,,
871,School of Engineering,MED,2016,"[""'MAT201'""]","[""'A-'""]","[""'PHY102'""]","[""'B'""]","[""'ECO101'""]","[""'C-'""]","["" 'ECO101'"", "" 'ECO102'""]","["" 'A-'"", "" 'A-'""]",,,,,,,,
872,School of Natural Sciences,BIO,2016,[],[],[],[],"[""'DES101'"", "" 'CHY351'""]","[""'A-'"", "" 'A-'""]","["" 'CHY352'"", "" 'DES111'""]","["" 'A'"", "" 'B'""]",,,,,,,,
873,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C-'""]","[""'MKT401'"", "" 'ECO102'""]","[""'A-'"", "" 'A-'""]",,,,,,,,
874,School of Engineering,CSD,2016,[],[],[],[],"["" 'MAT160'""]","["" 'B'""]",[],[],,,,,,,,
875,School of Natural Sciences,BIO,2016,[],[],[],[],"[""'CHY213'"", "" 'CHY351'""]","[""'B-'"", "" 'B-'""]",[],[],,,,,,,,
876,School of Humanities & Soc Sci,ECO,2016,"["" 'MAT100'"", "" 'MAT260'""]","["" 'W'"", "" 'C'""]","[""'MAT102'"", "" 'MAT110'""]","[""'W'"", "" 'B-'""]","[""'MAT280'"", "" 'MAT220'"", "" 'MAT240'"", "" 'MAT140'""]","[""'C'"", "" 'C'"", "" 'W'"", "" 'C-'""]","[""'MAT299'"", "" 'MAT241'"", "" 'MAT230'""]","[""'B-'"", "" 'W'"", "" 'B-'""]",,,,,,,,
877,School of Natural Sciences,PHY,2016,[],[],"[""'HIS209'""]","[""'B-'""]","["" 'ECO101'""]","["" 'A-'""]","[""'MAT284'"", "" 'ECO102'""]","[""'A-'"", "" 'A-'""]",,,,,,,,
878,School of Natural Sciences,BIO,2016,[],[],[],[],"[""'ENG443'"", "" 'ADP112'"", "" 'ADP310'""]","[""'A-'"", "" 'B'"", "" 'B'""]","[""'ADP101'"", "" 'ADP100'"", "" 'ENG244'""]","[""'A-'"", "" 'B'"", "" 'B'""]",,,,,,,,
879,School of Engineering,ECE,2016,[],[],[],[],"["" 'OHM402'""]","["" 'B'""]","[""'MGT201'"", "" 'ISM101'"", "" 'DOM401'""]","[""'B-'"", "" 'B-'"", "" 'A-'""]",,,,,,,,
880,School of Engineering,ECE,2016,[],[],[],[],"["" 'OHM402'""]","["" 'B'""]","["" 'MGT201'"", "" 'MGT102'"", "" 'ISM101'""]","["" 'B-'"", "" 'B'"", "" 'B-'""]",,,,,,,,
881,School of Engineering,CSD,2016,[],[],[],[],"[""'ENG443'""]","[""'A-'""]","["" 'ENG245'""]","["" 'A-'""]",,,,,,,,
882,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B'""]","[""'ECO102'""]","[""'A-'""]",,,,,,,,
883,School of Engineering,CED,2016,[],[],"["" 'MED101'""]","["" 'A-'""]","["" 'DES101'""]","["" 'A-'""]","[""'DES111'""]","[""'B'""]",,,,,,,,
884,School of Engineering,EED,2016,[],[],[],[],"[""'MAT160'""]","[""'B-'""]","[""'MED101'"", "" 'MAT104'"", "" 'MED210'""]","[""'A-'"", "" 'A-'"", "" 'A-'""]",,,,,,,,
885,School of Engineering,MED,2016,"[""'MAT201'""]","[""'B'""]","["" 'PHY102'""]","["" 'A'""]","[""'MAT160'""]","[""'B'""]",[],[],,,,,,,,
886,School of Engineering,EED,2016,[],[],[],[],"[""'CHY241'""]","[""'B'""]",[],[],,,,,,,,
887,School of Engineering,CED,2016,[],[],[],[],[],[],"["" 'HIS103'"", "" 'MAT104'""]","["" 'B-'"", "" 'B-'""]",,,,,,,,
888,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'B-'""]","["" 'PHY102'"", "" 'CED307'"", "" 'EED208'""]","["" 'C'"", "" 'C-'"", "" 'B-'""]",,,,,,,,,,,,
889,School of Engineering,ECE,2016,[],[],[],[],"["" 'CSD205'""]","["" 'B'""]","[""'PHY206'""]","[""'A-'""]",,,,,,,,
890,School of Engineering,EED,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C-'""]","["" 'MED210'"", "" 'MED101'""]","["" 'B'"", "" 'A-'""]",,,,,,,,
891,School of Engineering,CHD,2016,"[""'CHY111'""]","[""'C'""]",[],[],"[""'BIO201'""]","[""'A-'""]","[""'MED210'"", "" 'BIO310'""]","[""'C'"", "" 'B-'""]",,,,,,,,
892,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'B'""]","["" 'PHY102'""]","["" 'B'""]",[],[],"[""'ECO101'"", "" 'CED307'""]","[""'B-'"", "" 'B-'""]",,,,,,,,
893,School of Engineering,CSD,2016,[],[],[],[],"[""'IRG107'""]","[""'A-'""]","["" 'DOM401'""]","["" 'B'""]",,,,,,,,
894,School of Engineering,MED,2016,"[""'MAT201'""]","[""'C'""]","["" 'PHY102'""]","["" 'C'""]","[""'MAT160'""]","[""'D'""]","["" 'SOC221'""]","["" 'D'""]",,,,,,,,
895,School of Engineering,ECE,2016,[],[],[],[],"["" 'MAT160'""]","["" 'B-'""]","[""'MED210'""]","[""'B'""]",,,,,,,,
896,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'B'""]","["" 'PHY102'""]","["" 'B'""]",[],[],"[""'MGT201'"", "" 'ISM101'"", "" 'DOM401'""]","[""'B'"", "" 'B-'"", "" 'A-'""]",,,,,,,,
897,School of Engineering,CSD,2016,[],[],[],[],"[""'ECO101'"", "" 'CHD211'""]","[""'B-'"", "" 'B-'""]",[],[],,,,,,,,
898,School of Engineering,ECE,2016,[],[],[],[],"["" 'MAT160'""]","["" 'B-'""]","["" 'CED307'""]","["" 'B'""]",,,,,,,,
899,School of Engineering,CED,2016,[],[],"[""'CSD201'""]","[""'B'""]","[""'CSD207'"", "" 'CSD206'"", "" 'CSD205'"", "" 'EED206'""]","[""'C'"", "" 'C'"", "" 'C'"", "" 'C-'""]",[],[],,,,,,,,
900,School of Engineering,ECE,2016,[],[],[],[],"[""'MAT160'""]","[""'C-'""]","["" 'ADP110'""]","["" 'A-'""]",,,,,,,,
901,School of Engineering,CSD,2016,[],[],[],[],"[""'MAT160'""]","[""'B'""]",[],[],,,,,,,,
902,School of Natural Sciences,PHY,2016,[],[],"[""'MAT284'"", "" 'HIS209'""]","[""'B-'"", "" 'B-'""]","["" 'ECO101'""]","["" 'A'""]","["" 'ECO102'""]","["" 'A-'""]",,,,,,,,
903,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'D'""]","["" 'MED210'"", "" 'CED307'""]","["" 'B-'"", "" 'C'""]",,,,,,,,
904,School of Engineering,CED,2016,[],[],[],[],"[""'OHM402'""]","[""'B'""]","["" 'DOM401'"", "" 'ECO101'""]","["" 'A-'"", "" 'A'""]",,,,,,,,
905,School of Engineering,CSD,2016,[],[],[],[],"[""'ECO101'""]","[""'C'""]","[""'DOM401'""]","[""'C'""]",,,,,,,,
906,School of Engineering,CED,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]","["" 'ECO102'""]","["" 'A-'""]",,,,,,,,
907,School of Natural Sciences,BIO,2016,[],[],[],[],"["" 'CHY213'""]","["" 'B-'""]","[""'CHY352'""]","[""'B'""]",,,,,,,,
